MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,xHBA,xHBD,Te,density
8.457222222,8.457222222,0,-0.953703704,0.486311063,9.6,245.747,221.555,245.1393859,96,0,0.100047026,-0.395044574,0.395044574,0.100047026,1,1.4,1.466666667,35.45300069,10.41839244,1.937650978,-2.14544542,1.820658335,-2.253879123,5.853008728,0.045021484,2.250985719,-1.87E-07,100.1131339,11.39734123,9.464307224,10.28080381,6.654125627,4.886275629,4.886275629,2.769461399,2.769461399,1.732153163,1.732153163,0.738990947,0.738990947,0.09,864.3785162,20.49550503,16.51724781,16.74559188,97.75448103,25.32601931,6.103966388,0,0,0,0,0,0,0,12.40703316,13.8474744,13.08951281,6.544756406,19.82064589,20.42610958,12.40703316,0,4.899909731,0,19.95144079,39.45491511,0,0,0,0,0,0,12.40703316,70.88490081,0,0,13.8474744,0,0,0,0,84.16,6.103966388,0,0,32.22767905,0,19.63426922,0,0,0,18.74738413,20.42610958,0,0,2.180555556,32.47342593,0,0,0,-0.953703704,6.633055556,0,1,15,4,5,0,0,0,0,0,0,5,4,6,6,0,0,0,0,-0.9258,62.3002,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.8,298.15,1220
8.706296296,8.706296296,0,-0.474537037,0.351891189,9.882352941,265.737,245.577,265.1080858,100,0,0.19975016,-1,1,0.19975016,1,1.411764706,1.588235294,35.45300078,10.28320625,2.019807431,-2.213794512,2.322371034,-2.996003952,5.471971625,-0.8702139,2.129441103,0,305.4877364,12.76758471,10.26029682,11.01622577,7.275874227,4.888933648,4.888933648,4.382408723,4.382408723,1.764248759,1.764248759,0.819489186,0.819489186,-1.17,1788.730526,18.20198938,7.999905764,8.618391764,107.5617783,37.3161736,6.544756406,17.2485355,0,0,0,0,0,0,0,6.066367068,12.13273414,0,27.74989791,37.3161736,0,0,0,0,0,34.29465432,18.19910121,0,17.2485355,12.40703316,0,17.2485355,0,59.20379476,0,0,0,18.19910121,0,0,0,80.92,5.749511833,0,0,30.51293879,0,11.02778726,18.19910121,0,0,21.14301595,20.42610958,0.84375,0,0,34.47273148,0,-1.094907407,4.008425926,0,1.114583333,6.155416667,0.454545455,17,4,5,0,0,0,1,0,1,4,4,6,2,0,0,0,1,-2.5077,61.4216,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,298.15,1270
10.300428,10.300428,0,-0.833333333,0.393088738,9.066666667,241.719,221.559,241.1193192,92,0,0.309056401,-1,1,0.309056401,1.2,1.533333333,1.733333333,35.45300069,10.52519845,2.057690468,-2.22502293,1.884960184,-2.996003934,5.686084403,-0.870059527,1.800135096,-2.49E-07,188.0611407,11.77602088,9.618837041,10.37476599,6.148553027,4.136266392,4.136266392,3.756343146,3.756343146,1.067432691,1.067432691,0.463233564,0.463233564,-1.01,367.2275595,19.54522309,9.541399677,43.72712169,96.53894622,33.09426193,13.15163837,0,0,0,12.0004198,4.794537184,4.794537184,0,0,0,0,6.9237372,21.14301595,31.21600134,12.0004198,0,0,11.46733495,6.9237372,34.29465432,0,0,0,23.87436812,4.794537184,0,0,50.77810498,9.531400138,0,6.9237372,0,0,0,0,95.41,6.031114512,4.794537184,0,18.37633845,6.606881965,11.02778726,6.9237372,0,0,32.6103509,9.531400138,5.59,0,19.300428,0,8.5,-0.200509259,-0.833333333,0,2.799675926,6.177071995,0.75,15,4,6,0,0,0,0,0,0,3,2,7,3,0,0,0,0,-3.7165,53.3032,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0.333333333,0.666666667,298.15,1206
10.300428,10.300428,0,-0.200509259,0.483081099,9.5,249.742,229.582,249.1244046,94,0,0.302340388,-1,1,0.302340388,1.4375,2.0625,2.3125,35.45300073,10.5251982,2.05770842,-2.225022822,1.885068823,-2.996003704,5.653314514,-0.870059524,2.560763432,0,240.3074814,11.73420452,10.23515261,10.99108156,6.916502219,4.78187336,4.78187336,4.114549394,4.114549394,1.47333083,1.47333083,0.678399306,0.678399306,-1.07,1697.786156,17.32866041,9.177335624,15.40419786,102.8186032,26.61090549,13.15163837,0,0,0,5.969305288,4.794537184,4.983978521,0,0,0,0,19.31742434,27.47033602,26.42146416,5.969305288,0,9.967957042,0,6.9237372,34.29465432,18.72100722,0,0,12.40703316,0,0,0,54.71494751,9.531400138,0,6.9237372,18.72100722,0,0,0,54.98,0,4.794537184,0,18.37633845,6.606881965,11.02778726,6.9237372,18.72100722,0,31.11097299,4.736862954,5.59,0,16.71709467,0,0,-0.200509259,0,5.083333333,2.799675926,6.177071995,0.6,16,1,5,0,0,0,0,1,1,3,1,6,3,0,0,0,1,-2.3306,58.1201,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,298.15,1282
10.39515629,10.39515629,0,-0.729952286,0.313333297,13.03333333,452.164,397.732,451.3792223,184,0,0.305705213,-1,1,0.305705213,0.733333333,1.1,1.366666667,35.45300138,9.992643931,2.241942716,-2.390426809,2.162217903,-2.99600632,5.688247475,-0.928665899,2.723524554,-4.97E-07,328.7931238,22.54575931,21.09626259,21.85219153,13.81722675,12.50541744,12.50541744,9.108216339,9.108216339,6.011340595,6.011340595,3.632178153,3.632178153,-0.32,978085.7554,34.29655829,23.34536175,19.63212861,194.3765809,27.10311881,0,0,0,0,5.969305288,4.794537184,0,0,0,73.64653131,44.44283578,6.606881965,32.09693167,31.89765599,5.969305288,0,0,11.83581209,112.1714611,32.78590759,0,0,0,12.40703316,0,0,0,53.45129852,4.794537184,11.83581209,112.1714611,0,0,0,0,57.53,5.969305288,4.794537184,0,24.93182117,12.33872767,12.84164325,82.02862946,6.9237372,6.9237372,27.6949488,10.21305479,1.42,0,10.39515629,17.2479106,0,-0.686537698,0,13.56454176,18.89226238,0,0.96,30,2,4,0,0,0,0,0,0,2,2,5,18,0,0,0,0,3.5134,126.261,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,298.15,981.5
8.166666667,8.166666667,0,-0.953703704,0.443139068,10.8,313.91,277.622,313.2383717,126,0,0.100047026,-1,1,0.100047026,0.7,0.95,1.05,35.45300091,10.18500926,2.221752084,-2.379343878,2.119967111,-2.996004362,4.441835828,-0.927970832,2.395309923,-3.52E-07,148.991786,15.14841808,13.81523694,14.57116588,9.0507011,7.800489192,7.800489192,5.255039855,5.255039855,3.213291993,3.213291993,2.625922016,2.625922016,0.13,8536.884565,25.10492851,17.18227392,13.12879842,131.3598714,32.2096462,6.103966388,0,0,0,0,0,0,0,0,27.6949488,25.68328649,0,39.39278955,32.2096462,0,0,0,0,59.48220168,39.39278955,0,0,0,12.40703316,0,0,0,65.29936898,0,0,53.37823529,0,0,0,0,60.69,6.103966388,0,0,25.62079709,0,0,56.34534297,0,0,27.6949488,15.31958218,1.375,0,0,24.0162037,0,0,0,4.37962963,14.0625,0,1,20,3,4,0,0,0,0,0,0,3,3,5,10,0,0,0,0,-1.2209,81.0708,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0.8,298.15,1211.3
7.625,7.625,0,-0.125,0.556046712,10.33333333,283.884,249.612,283.227807,114,0,0.078345403,-1,1,0.078345403,0.611111111,0.833333333,0.944444444,35.45300081,10.18500941,2.221634673,-2.379343828,2.119883092,-2.996003892,4.434569041,-0.927970829,2.306880197,-3.92E-07,114.2459061,13.57106781,12.79067307,13.54660202,8.156854249,7.225793721,7.225793721,4.683281573,4.683281573,2.891793787,2.891793787,2.568186989,2.568186989,0.17,3425.717092,23.27685794,17.17,12.62236083,120.2006956,27.10311881,0,0,0,0,0,0,0,0,0,27.6949488,25.68328649,0,39.39278955,27.10311881,0,0,0,0,53.37823529,39.39278955,0,0,0,12.40703316,0,0,0,54.0888752,0,0,53.37823529,0,0,0,0,40.46,0,0,0,25.62079709,0,0,56.34534297,0,0,27.6949488,10.21305479,1.375,0,0,15.25,0,0,0,5.333333333,14.54166667,0,1,18,2,3,0,0,0,0,0,0,2,2,4,9,0,0,0,0,-0.5818,75.064,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.166666667,0.833333333,298.15,1129.8
8.263138464,8.263138464,0,0,0.299461388,10.75,371.99,329.654,371.2802365,150,0,0.078345403,-1,1,0.078345403,0.583333333,0.875,1.083333333,35.45300111,10.185009,2.22182602,-2.379343949,2.120094174,-2.996005126,4.435182762,-0.927970835,2.52478171,-3.64E-07,183.6856662,17.8137085,16.43559678,17.19152572,11.15685425,9.380494259,9.380494259,5.908026444,5.908026444,3.635051575,3.635051575,3.01926171,3.01926171,0.09,66737.55495,28.87563253,23.09,18.42896773,155.8875545,36.57684472,0,0,0,0,0,0,0,0,0,27.6949488,25.68328649,0,65.82031741,36.57684472,0,0,0,0,53.37823529,65.82031741,0,0,0,12.40703316,0,0,0,80.51640306,9.473725908,0,53.37823529,0,0,0,0,58.92,0,0,0,25.62079709,26.42752786,0,56.34534297,0,0,27.6949488,19.6867807,11.12045918,0,0,16.52627693,0,0,0,5.333333333,16.51993056,0,1,24,2,5,0,0,0,0,0,0,4,2,6,15,0,0,0,0,-0.5486,96.702,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0.2,0.8,298.15,1139.1
10.08486111,10.08486111,0,-0.916481481,0.569591326,10.22727273,337.932,301.644,337.2383717,134,0,0.3032887,-1,1,0.3032887,0.772727273,1.090909091,1.227272727,35.453001,10.18500904,2.22184254,-2.379343941,2.120112671,-2.996004816,5.796970443,-0.927970839,2.382039069,-3.48E-07,239.5678404,16.72576835,15.15995606,15.915885,9.868538345,8.432300058,8.432300058,5.831821624,5.831821624,3.482721331,3.482721331,2.851150761,2.851150761,-0.61,17686.64009,26.29552086,16.75526399,15.77272807,142.8243324,26.7911286,5.783244946,0,0,0,5.969305288,4.794537184,0,0,0,27.6949488,32.60702369,6.420821623,32.59984725,31.58566578,11.75255023,0,0,0,73.14361574,26.17902562,0,0,0,12.40703316,0,0,0,47.52113411,9.589074368,0,73.14361574,0,0,0,0,54.37,5.969305288,9.589074368,0,31.03192135,0,0,63.26908017,0,0,27.6949488,5.106527395,1.375,0,19.83638889,8.010138889,0,-0.992962963,0,5.435185185,16.16958333,0,0.882352941,22,1,4,0,0,0,0,0,0,2,1,5,11,0,0,0,0,0.8874,88.4432,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0.8,298.15,1075.9
8.166666667,8.166666667,0,-0.953703704,0.359499819,11,414.469,370.117,413.2504564,150,0,0.100047026,-1,1,0.100047026,0.625,0.875,1,79.90400035,10.12017548,2.241333554,-2.390426755,2.1594984,-2.996005087,4.488867166,-0.928665884,2.598660743,-5.38E-07,189.1476647,17.97684521,16.64366406,18.2296606,11.0507011,9.800489192,9.800489192,6.669253418,6.669253418,4.365533896,4.365533896,2.702651739,2.702651739,0.32,66265.84894,29.09686922,21.36288165,17.1530538,161.1792488,36.78406389,6.103966388,0,0,0,0,0,0,0,0,53.37823529,25.68328649,0,39.39278955,36.78406389,0,0,0,0,85.16548817,39.39278955,0,0,0,16.98145085,0,0,0,65.29936898,0,0,79.06152178,0,0,0,0,60.69,6.103966388,0,0,30.19521478,0,0,82.02862946,0,0,27.6949488,15.31958218,1.42,0,0,24.0162037,0,0,0,10.10787509,14.28925454,0,1,24,3,4,0,0,0,0,0,0,3,3,5,14,0,0,0,0,0.3395,99.5388,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0.8,298.15,1150.7
